city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,25,15,24,0.43,8,57,41,9
阿克苏地区,87,61,122,1.5,40,20,20,8
阿拉善盟,70,39,87,0.53,14,60,48,12
阿勒泰地区,26,18,19,0.7,14,48,43,6
阿里地区,39,10,38,0.4,27,39,32,25
安康,165,125,172,1.9,56,14,13,30
安庆,177,133,125,1.16,53,64,43,14
鞍山,66,28,80,0.65,19,60,45,15
安顺,29,20,21,0.85,14,42,32,23
安阳,70,41,88,0.94,29,51,27,16
白城,34,12,29,0.15,6,77,66,10
百色,164,124,146,1.6,36,30,8,26
白山,105,78,126,0.35,6,65,22,10
白银,71,51,76,0.85,35,57,46,37
保定,41,24,40,0.62,31,49,19,7
宝鸡,67,27,82,0.64,24,61,35,13
保山,64,42,76,0.6,30,77,50,8
包头,76,55,68,2.48,50,35,35,82
巴彦淖尔,45,19,44,0.6,10,60,51,13
巴中,236,185,260,1.73,46,7,7,7
北海,67,48,67,0.83,15,131,119,9
北京,36,8,35,0.36,9,58,49,3
蚌埠,160,121,177,1.02,36,57,25,14
本溪,53,33,54,0.72,19,49,25,18
毕节,65,46,64,0.85,19,72,69,13
滨州,36,17,35,0.57,14,69,51,11
博州,57,38,62,0.4,26,43,40,4
亳州,206,155,241,1.95,54,29,29,18
沧州,58,19,63,0.37,8,68,24,14
长春,49,26,48,0.57,17,48,29,11
常德,191,143,176,1.42,51,41,23,13
昌都,39,17,38,1.1,9,46,36,4
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,236,185,285,1.67,47,34,29,5
长沙,202,151,143,1.23,47,29,14,10
常熟,61,40,70,0.7,43,80,32,20
长治,59,36,65,0.8,24,68,66,10
常州,76,55,88,1.1,64,41,14,20
朝阳,55,12,57,0.5,4,68,62,7
潮州,71,51,81,1.07,25,119,55,11
承德,30,8,29,0.5,5,71,59,4
成都,171,129,189,1.18,56,33,27,10
郴州,87,64,106,1.22,50,30,15,43
赤峰,58,12,64,0.3,11,57,51,10
池州,206,155,228,1.67,73,58,23,35
重庆,146,111,152,0.99,50,22,17,13
崇左,98,73,116,1.1,27,77,33,5
楚雄州,55,38,50,0.85,30,70,18,26
滁州,186,140,216,1.27,57,56,27,20
大连,49,16,48,0.35,8,66,57,8
大理州,42,19,41,0.75,17,82,59,6
丹东,52,27,52,0.68,16,55,40,16
大庆,40,14,39,0.32,11,56,42,9
大同,29,12,28,0.67,8,63,48,12
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,31,16,28,0.4,7,69,60,12
达州,266,215,327,2.26,64,40,42,8
德宏州,73,47,93,0.95,29,44,13,14
德阳,179,135,207,1.2,73,10,5,38
德州,88,65,90,0.7,26,59,22,23
定西,61,42,69,1.5,48,46,18,75
迪庆州,54,37,49,0.5,13,72,45,12
东莞,94,70,94,0.88,47,115,46,45
东营,43,8,42,0.23,3,68,57,6
鄂尔多斯,55,9,57,0.5,15,71,61,15
恩施州,188,141,192,2.0,55,4,2,9
鄂州,114,85,136,1.13,53,41,20,17
防城港,99,74,84,1.37,36,90,82,14
佛山,106,79,141,1.08,91,70,23,15
抚顺,70,28,87,0.52,13,57,27,14
阜新,32,6,28,0.26,3,67,63,15
阜阳,196,147,208,1.23,39,62,37,15
富阳,0,0,0,0.0,0,0,0,0
福州,69,49,84,0.65,39,88,67,7
抚州,100,75,132,0.82,33,44,18,28
